0 -10512.365696
0.15 -10511.049602
0.26 -10506.638469
0.97 -10499.664689
1.08 -10489.486434
1.19 -10478.780365
1.29 -10470.724409
1.43 -10463.557925
1.59 -10459.182964
1.66 -10456.228968
1.73 -10454.577496
1.75 -10454.230552
1.94 -10454.479513
2 -10455.586027
2.04 -10457.41951
2.07 -10460.101503
2.24 -10465.31496
2.39 -10469.813169
2.42 -10472.961696
2.46 -10474.14519
2.54 -10473.189778
2.61 -10453.173703
2.71 -10438.58239
2.77 -10437.99349
2.84 -10439.837605
2.86 -10446.902953
2.98 -10451.437779
3.08 -10451.633412
3.14 -10444.088657
3.16 -10429.164082
3.16 -10432.850142
3.27 -10443.380555
3.38 -10451.492123
3.43 -10456.285639
3.54 -10456.502857
3.59 -10426.506635
3.64 -10417.066972
3.75 -10417.277343
3.82 -10422.881893
3.92 -10437.780399
3.99 -10456.74932
4.1 -10469.068309
4.11 -10475.535188
4.19 -10477.222219
4.27 -10474.990615
4.34 -10464.748916
4.34 -10442.664857
4.36 -10415.920302
4.4 -10399.599681
4.44 -10393.201527
4.51 -10391.721988
4.63 -10393.041477
4.78 -10401.207132
4.92 -10444.791041
5.23 -10483.98549
5.47 -10481.555446
5.65 -10388.701896
5.71 -10386.020507
5.83 -10390.989522
5.86 -10401.692641
5.97 -10411.60643
6.12 -10411.034673
6.15 -10389.983685
6.18 -10384.26776
6.34 -10388.622691
6.44 -10413.407495
6.58 -10414.12415
6.59 -10407.694956
6.63 -10394.82692
6.73 -10387.833156
6.91 -10386.431784
7.01 -10392.457221
7.08 -10406.750216
7.11 -10423.957137
7.31 -10439.205467
7.56 -10451.440805
7.89 -10457.329211
8.24 -10458.564244
8.45 -10456.857328
8.66 -10452.648753
8.85 -10445.483156
9.08 -10434.918887
9.61 -10423.392086
9.78 -10414.212062
9.97 -10404.987098
10.07 -10398.240835
10.22 -10393.066947
10.36 -10391.022954
10.46 -10391.258216
10.52 -10394.006451
10.76 -10400.009545
10.79 -10409.555172
10.86 -10422.413552
10.97 -10442.289165
10.99 -10466.202008
11.01 -10487.77884
11.05 -10496.974094
11.15 -10496.654204
11.27 -10451.614697
11.4 -10398.584584
11.53 -10395.518121
11.65 -10402.843941
11.7 -10422.977173
11.81 -10449.478825
11.89 -10471.911439
11.93 -10486.302289
12.03 -10495.253917
12.31 -10501.934765
12.61 -10504.514951
12.8 -10505.798789
12.94 -10504.844357
13.12 -10502.050494
13.23 -10497.806158
13.29 -10491.100682
13.44 -10480.950287
13.72 -10468.895214
14.12 -10454.963078
14.52 -10442.416094
14.8 -10430.464556
14.89 -10419.981107
15.02 -10412.330198
15.08 -10406.774565
15.11 -10403.27991
15.25 -10401.124584
15.31 -10400.645101
15.52 -10401.165268
15.77 -10403.086391
15.83 -10407.552539
15.92 -10415.561342
15.98 -10430.289979
16.09 -10448.043722
16.13 -10457.061136
16.18 -10461.512555
16.22 -10463.104365
16.24 -10462.823726
16.32 -10460.775697
16.43 -10455.825177
16.6 -10447.102511
16.77 -10432.661328
16.87 -10418.786825
16.94 -10410.579857
17.01 -10406.860028
17.13 -10406.258018
17.4 -10407.969161
17.74 -10411.790073
18.07 -10417.613425
18.61 -10425.445573
19.27 -10435.495553
19.83 -10445.480413
20.01 -10454.799027
20.14 -10462.006176
20.25 -10467.085795
20.33 -10469.805762
20.41 -10470.595317
20.6 -10469.792662
20.77 -10467.071431
20.82 -10462.173212
20.95 -10456.826481
21.1 -10449.930986
21.29 -10442.508759
21.69 -10435.32962
22.06 -10429.687062
22.44 -10424.988857
22.88 -10421.117897
23.18 -10418.079318
23.35 -10415.907983
23.44 -10414.569477
23.5 -10414.091465
23.65 -10414.178643
23.76 -10415.238862
23.85 -10417.760062
23.86 -10421.420424
24.05 -10427.754214
24.25 -10435.258969
24.38 -10444.313019
24.45 -10453.153317
24.45 -10459.998141
24.68 -10464.516404
24.89 -10467.62937
25.06 -10469.321245
